title,company,expirence,salary,location,skill,date
Data Transformation Analyst I,IHS Markit,0-2 Yrs,Not disclosed,Hyderabad/Secunderabad,"['Data analysis', 'Excel', 'PDF', 'Project management', 'Analytical', 'Internet research', 'Data collection', 'Data quality']",5 DAYS AGO
Data Transformation Analyst I,IHS Markit,0-2 Yrs,Not disclosed,Hyderabad/Secunderabad,"['excel', 'Written', 'Verbal', 'Microsoft Office', 'analytical', 'communication', 'BPO', 'Backend']",4 DAYS AGO
Sr Data Analyst,Sunsign Hiring,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Power BI', 'Qlikview', 'Tableau', 'Data Lineage', 'Business Analyst', 'Data Management', 'Data Mining', 'Data Analyst']",5 DAYS AGO
"Senior Analyst, Data Engineering",Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['T-SQL', 'Data Engineering', 'Microsoft SQL Server', 'IT Skills', 'Oracle', 'Big Data', 'SSAS', 'Data Architecture']",6 DAYS AGO
"Senior Analyst, Data Engineering",Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['T-SQL', 'Microsoft SQL Server', 'SSIS', 'IT Skills', 'Oracle', 'Big Data', 'Data Engineering', 'SSAS']",7 DAYS AGO
Data Engineering Senior Analyst,Dell,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Engineering', 'Data Integration', 'ETL', 'IT Skills', 'Data Science', 'Big Data', 'Tableau', 'Unix']",5 DAYS AGO
Data Engineering Senior Analyst,Dell,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Engineering', 'ETL', 'Data Integration', 'IT Skills', 'MS SQL', 'Tableau', 'T-SQL', 'Unix']",7 DAYS AGO
"Senior Analyst, Data Engineering",Dell,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['Power BI', 'MS SQL Server', 'Teradata', 'IT Skills', 'MS SQL', 'Predictive Modeling', 'Business Intelligence', 'Data Engineering']",7 DAYS AGO
Data Quality Senior Analyst,Dell,3-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"['Data Quality', 'MS Excel', 'SQL', 'IT Skills', 'Python', 'Machine Learning', 'Power BI', 'Artificial Intelligence']",7 DAYS AGO
Data Analyst,GSK India,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['JIRA', 'Analytics', 'SQL', 'R', 'Data Quality', 'performance tuning', 'Data Analysis', 'Data Modeling']",10 DAYS AGO
Data Analyst,GSK India,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['Cloud platforms', 'SQL', 'CRM', 'Azure', 'GCP', 'Data Analysis', 'AWS']",12 DAYS AGO
