title,company,expirence,salary,location,skill,date
Artificial Intelligence & Machine Learning Lead,HRDevi Talent Acquisition,6-7 Yrs,Not disclosed,Thane,"['Storage servers', 'SAN', 'Cisco Certification', 'ITSM', 'ITIL', 'MS Office', 'sub-system', 'Six Sigma']",30+ DAYS AGO
Artificial Intelligence & Machine Learning Lead,HRDevi Talent Acquisition,6-8 Yrs,Not disclosed,Mumbai,"['C', 'My SQL', 'BI', 'H20', 'Data Mining', 'Cassandara', 'R', 'Dynamo DB']",30+ DAYS AGO
Software Engineer - Artificial Intelligence/ Machine Learning,Confidential,1-2 Yrs,Not disclosed,Trivandrum/Thiruvananthapuram,"['Machine Learning', 'AI', 'IT Skills', 'Testing', 'Pattern Recognition', 'Production support', 'Project monitoring', 'Artificial Intelligence']",18 DAYS AGO
Machine Learning /Artificial Intelligence - Analyst - Python,Ivalueplus Services,5-7 Yrs,Not disclosed,"Noida, Faridabad, Delhi / NCR","['python', 'machine learning', 'artificial intelligence', 'IT Skills', 'Cloud', 'DevOps', 'Big Data', 'AWS']",17 DAYS AGO
"Data Science Technologies, Data Analytics, Artificial Intelligence",VIT,10-15 Yrs,Not disclosed,Vellore,"['Administration management', 'Industry research', 'Staff development', 'MIS', 'Performance appraisal', 'Consultancy', 'Data analytics', 'Research']",30+ DAYS AGO
Artificial Intelligence Specialist,CLOUDMOYO INDIA PRIVATE LIMITED,4-9 Yrs,Not disclosed,Remote,"['NoSQL design', 'RDBMS', 'NLP', 'REST API development', 'Tensorflow', 'Python', 'deep learning', 'ML']",3 DAYS AGO
Lead Artificial Intelligence Engineer,FabHotel Aay Kay Model Town,5-6 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'Root cause analysis', 'Automation', 'Artificial Intelligence', 'TPS', 'Agile', 'Data collection', 'Manager Technology']",30+ DAYS AGO
Lead Artificial Intelligence Engineer,Baker Hughes,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'Root cause analysis', 'Automation', 'Artificial Intelligence', 'TPS', 'Agile', 'Data collection', 'Manager Technology']",30+ DAYS AGO
Artificial Intelligence & Machine Learning,Well Point IT Solutions Pvt Ltd,4-6 Yrs,Not disclosed,Hyderabad,"['IT Skills', 'Python', 'Software Development', 'Machine Learning', 'Artificial Intelligence', 'Data analysis', 'Product engineering', 'Natural language processing']",30+ DAYS AGO
"Trainer/Faculty ? Artificial intelligence,Machine Learning",Qubit AI,3-5 Yrs,Not disclosed,Hyderabad,"['Learning', 'Java', 'Matplotlib', 'PyTorch', 'NumPy', 'Caffe2', 'machine learning', 'SciPy']",30+ DAYS AGO
